2024-05-21 19:36:16,452 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:16,453 - INFO - Polyanet created at (10, 7).
2024-05-21 19:36:16,553 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:36:21,750 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:21,754 - INFO - Polyanet created at (10, 12).
2024-05-21 19:36:21,896 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:21,901 - INFO - Polyanet created at (10, 14).
2024-05-21 19:36:22,110 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:22,114 - INFO - Soloon created at (10, 18).
2024-05-21 19:36:22,254 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:22,256 - INFO - Polyanet created at (10, 19).
2024-05-21 19:36:22,401 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:22,405 - INFO - Polyanet created at (10, 20).
2024-05-21 19:36:22,532 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:22,535 - INFO - Soloon created at (11, 7).
2024-05-21 19:36:22,661 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:22,665 - INFO - Polyanet created at (11, 8).
2024-05-21 19:36:22,801 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:22,805 - INFO - Polyanet created at (11, 9).
2024-05-21 19:36:22,941 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:22,944 - INFO - Polyanet created at (11, 12).
2024-05-21 19:36:23,086 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:23,091 - INFO - Polyanet created at (11, 14).
2024-05-21 19:36:23,230 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
